"time","eurhuf","usdhuf","kinfodummy","napi_google","heti_google"
2020-01-01,330.623992919922,295.040008544922,0,0,1
2020-01-02,330.878997802734,295.459991455078,0,0,1
2020-01-03,330.579986572266,296.984985351562,0,0,1
2020-01-06,330.070007324219,295.589996337891,0,0,2
2020-01-07,331.402008056641,297.595001220703,0,0,2
2020-01-08,332.059997558594,298.294006347656,0,0,2
2020-01-09,333.122009277344,300.191986083984,0,24,2
2020-01-10,334.016998291016,301.109008789062,0,0,2
2020-01-13,334.998992919922,301.350006103516,0,11,2
2020-01-14,334,299.871002197266,0,7,2
2020-01-15,333.216003417969,299.601013183594,0,0,2
2020-01-16,334.464996337891,300.394989013672,0,14,2
2020-01-17,336.085998535156,302.963012695312,0,0,2
2020-01-20,336.933013916016,303.950988769531,0,0,0
2020-01-21,335.611999511719,302.799987792969,0,0,0
2020-01-22,336.325012207031,303.540008544922,0,0,0
2020-01-23,337.412994384766,305.549987792969,0,0,0
2020-01-24,336.769989013672,304.993011474609,0,0,0
2020-01-27,338.611999511719,307.279998779297,0,0,0
2020-01-28,338.471984863281,307.596984863281,0,0,0
2020-01-29,338.255004882812,307.391998291016,0,7,0
2020-01-30,338.549987792969,307.313995361328,0,14,0
2020-01-31,337.578002929688,306.149993896484,0,0,0
2020-02-03,338.036987304688,305.532012939453,0,0,1
2020-02-04,337.220001220703,305.010009765625,0,10,1
2020-02-05,337.167999267578,306.43798828125,0,6,1
2020-02-06,337.944000244141,308.135009765625,0,0,1
2020-02-07,339.098999023438,309.5,0,12,1
2020-02-10,338.196990966797,309.774993896484,0,0,1
2020-02-11,338.894012451172,310.459991455078,0,0,1
2020-02-12,339.946014404297,312.256011962891,0,0,1
2020-02-13,340.049011230469,312.829986572266,0,16,1
2020-02-14,337.653015136719,311.855010986328,0,8,1
2020-02-17,335.971984863281,310.106994628906,0,9,1
2020-02-18,335.912994384766,310.660003662109,0,0,1
2020-02-19,337.100006103516,312.328002929688,0,0,1
2020-02-20,338.31201171875,313.705993652344,0,0,1
2020-02-21,338.286010742188,313.510009765625,0,0,1
2020-02-24,338.524993896484,312.789001464844,0,0,2
2020-02-25,338.579986572266,311.809997558594,0,0,2
2020-02-26,339.7080078125,312.768005371094,0,11,2
2020-02-27,339.803009033203,311.589996337891,0,9,2
2020-02-28,340.433013916016,309.535003662109,0,0,2
2020-03-02,338.657012939453,306.829986572266,0,0,0
2020-03-03,337.973999023438,303.915008544922,0,0,0
2020-03-04,335.950988769531,302.563995361328,0,0,0
2020-03-05,336.582000732422,302.100006103516,0,27,0
2020-03-06,337.799011230469,300.184997558594,0,0,0
2020-03-09,338.252014160156,297.328002929688,0,0,17
2020-03-10,336.420013427734,296.279998779297,0,15,17
2020-03-11,336.177001953125,298.272003173828,0,100,17
2020-03-12,340.032012939453,306.910003662109,0,59,17
2020-03-13,340.311004638672,307.575988769531,0,86,17
2020-03-16,345.050994873047,310.329986572266,0,64,15
2020-03-17,348.101013183594,316.68701171875,0,29,15
2020-03-18,354.661010742188,326.665008544922,0,67,15
2020-03-19,359.248992919922,333.290008544922,0,48,15
2020-03-20,357.381988525391,335.820007324219,0,35,15
2020-03-23,355.808013916016,331.638000488281,0,13,10
2020-03-24,357.608001708984,331.899993896484,0,7,10
2020-03-25,355.341003417969,329.080993652344,0,15,10
2020-03-26,358.024993896484,327.238006591797,0,39,10
2020-03-27,356.050994873047,324.611999511719,0,58,10
2020-03-29,359.420989990234,326.386993408203,0,0,5
2020-03-30,361.044006347656,329.350006103516,0,26,5
2020-03-31,369.322998046875,337.824005126953,0,7,5
2020-04-01,364.558013916016,335.635986328125,0,0,5
2020-04-02,367.795989990234,341.079986572266,0,28,5
2020-04-05,365.998992919922,338.790008544922,0,17,9
2020-04-06,363.980010986328,337.209991455078,0,19,9
2020-04-07,359.75,330.914001464844,0,13,9
2020-04-08,358.869995117188,330.369995117188,0,94,9
2020-04-09,353.238006591797,323.559997558594,0,58,9
2020-04-12,354.248992919922,324.85400390625,0,12,7
2020-04-13,354.138000488281,323.980010986328,0,0,7
2020-04-14,352.1669921875,323.621002197266,0,0,7
2020-04-15,352.316009521484,324.390014648438,0,14,7
2020-04-16,352.802001953125,325.944000244141,1,90,7
2020-04-19,354.677001953125,326.803985595703,0,8,4
2020-04-20,355.851989746094,328.337005615234,0,10,4
2020-04-21,357.703002929688,330.404998779297,0,17,4
2020-04-22,358.334014892578,332.759002685547,0,17,4
